file,line,type,commit,author,date,time,timezone,datetime,depth,length
styles.css,52,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,0,0
styles.css,53,css,a65ce28f,binkybarnes,2025-01-25,21:36:26,-08:00,2025-01-25T21:36:26-08:00,1,9
styles.css,54,css,a65ce28f,binkybarnes,2025-01-25,21:36:26,-08:00,2025-01-25T21:36:26-08:00,2,45
styles.css,55,css,a65ce28f,binkybarnes,2025-01-25,21:36:26,-08:00,2025-01-25T21:36:26-08:00,2,20
styles.css,56,css,a65ce28f,binkybarnes,2025-01-25,21:36:26,-08:00,2025-01-25T21:36:26-08:00,1,0
styles.css,57,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,0,0
styles.css,58,css,a65ce28f,binkybarnes,2025-01-25,21:36:26,-08:00,2025-01-25T21:36:26-08:00,1,7
styles.css,59,css,a65ce28f,binkybarnes,2025-01-25,21:36:26,-08:00,2025-01-25T21:36:26-08:00,2,45
styles.css,60,css,a65ce28f,binkybarnes,2025-01-25,21:36:26,-08:00,2025-01-25T21:36:26-08:00,2,20
styles.css,61,css,a65ce28f,binkybarnes,2025-01-25,21:36:26,-08:00,2025-01-25T21:36:26-08:00,2,69
styles.css,62,css,a65ce28f,binkybarnes,2025-01-25,21:36:26,-08:00,2025-01-25T21:36:26-08:00,1,0
styles.css,63,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,0,0
styles.css,64,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,0,0
styles.css,65,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,0,37
styles.css,66,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,0,0
styles.css,67,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,0,4
styles.css,68,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,0,7
styles.css,69,css,a65ce28f,binkybarnes,2025-01-25,21:36:26,-08:00,2025-01-25T21:36:26-08:00,0,4
styles.css,70,css,a65ce28f,binkybarnes,2025-01-25,21:36:26,-08:00,2025-01-25T21:36:26-08:00,0,5
styles.css,71,css,a65ce28f,binkybarnes,2025-01-25,21:36:26,-08:00,2025-01-25T21:36:26-08:00,0,6
styles.css,72,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,1,12
